
DURATIO,GENRE_,AVG_UPVOTES
-------,------,-----------
140-159,Action, 2.92267267
160-179,Action,  4.1004902
80-99  ,Horror, 2.94424406
100-119,Action, 3.03298376
100-119,Comedy, 2.99564033
100-119,Horror, 2.95446698
120-139,Horror, 3.24313023
140-159,Horror, 3.39779006
60-79  ,Horror, 3.45274725
60-79  ,Comedy, 2.12021858
120-139,Comedy, 2.94551845
80-99  ,Action, 2.78049713
120-139,Action, 2.84772647
160-179,Comedy, 2.14814815
180-200,Action,          1
180-200,Comedy,          4
80-99  ,Comedy, 2.79732382
140-159,Comedy,  4.1971831
60-79  ,Action,      1.875
